Book_Title,Author,Release_Date
Atomic Habits,James Clear,16OCT2018
Eversion,Alastair Reynolds,02AUG2022
Fourth Wing,Rebecca Yarros,02MAY2023
Lessons in Chemistry,Bonnie Garmus,05APR2022
Her Perfect Twin,Sarah Bonner,27SEP2022
Outlive,Peter Attia MD,28MAR2023
The Covenant of Water,Abraham Verghese,02MAY2023
Demon Copperhead,Barbara Kingsolver,18OCT2022
The Housemaid,Freida McFadden,26APR2022
American Prometheus,Kai Bird,28MAR2007
The Five-Star Weekend,Elin Hilderbrand,13JUN2023
Can't Hurt Me,David Goggins,28NOV2018
A Court of Thorns and Roses,Sarah J. Maas,05MAY2015
The Subtle Art of Not Giving a F*ck,Mark Manson,13SEP2016
It Ends with Us,Colleen Hoover,02AUG2016
Verity,Colleen Hoover,07MAY2019
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,20NOV2015
Greenlights,Matthew McConaughey,20OCT2020
How to Talk to Anyone,Leil Lowndes,01SEP2015
I'm Glad My Mom Died,Jennette McCurdy,09AUG2022
Remarkably Bright Creatures,Shelby Van Pelt,03MAY2022
Identity,Nora Roberts,23MAY2023
Birds in Flight,Anni Taylor,07MAR2023
Wool,Hugh Howey,07MAR2023
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,20NOV2015
The Summer I Turned Pretty,Jenny Han,03MAY2022
Spare,Prince Harry The Duke of Sussex,10JAN2023
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,13JUN2017
Never Finished,David Goggins,06DEC2022
How to Win Friends & Influence People,Dale Carnegie,16SEP2004
Haunting Adeline,H. D. Carlton,29AUG2022
Hábitos atómicos,James Clear,30SEP2020
Too Late,Colleen Hoover,27JUN2023
The Body Keeps the Score,Bessel A. van der Kolk,16FEB2021
A Court of Mist and Fury,Sarah J. Maas,03MAY2016
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,20NOV2015
It’s Not Summer Without You,Jenny Han,03MAY2022
12 Rules for Life,Jordan B. Peterson,23JAN2018
Fairy Tale,Stephen King,06SEP2022
It Starts with Us,Colleen Hoover,18OCT2022
Remarkably Bright Creatures,Shelby Van Pelt,03MAY2022
Identity,Nora Roberts,23MAY2023
Birds in Flight,Anni Taylor,07MAR2023
Wool,Hugh Howey,07MAR2023
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,20NOV2015
The Summer I Turned Pretty,Jenny Han,03MAY2022
Spare,Prince Harry The Duke of Sussex,10JAN2023
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,13JUN2017
Never Finished,David Goggins,06DEC2022
How to Win Friends & Influence People,Dale Carnegie,16SEP2004
Haunting Adeline,H. D. Carlton,29AUG2022
Hábitos atómicos,James Clear,30SEP2020
Too Late,Colleen Hoover,27JUN2023
The Body Keeps the Score,Bessel A. van der Kolk,16FEB2021
A Court of Mist and Fury,Sarah J. Maas,03MAY2016
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,20NOV2015
It’s Not Summer Without You,Jenny Han,03MAY2022
12 Rules for Life,Jordan B. Peterson,23JAN2018
Fairy Tale,Stephen King,06SEP2022
It Starts with Us,Colleen Hoover,18OCT2022
Happy Place,Emily Henry,25APR2023
The Mountain Is You,Brianna Wiest,01APR2022
Hello Beautiful,Ann Napolitano,14MAR2023
Project Hail Mary,Andy Weir,04MAY2021
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,20NOV2015
The Psychology of Money,Morgan Housel,08SEP2020
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,05JUL2022
Killers of the Flower Moon,David Grann,18APR2017
A Court of Wings and Ruin,Sarah J. Maas,02MAY2017
Mad Honey,Jodi Picoult,04OCT2022
Dune,Frank Herbert,31DEC2006
Unfu*k Yourself,Gary John Bishop,01AUG2017
A Court of Silver Flames,Sarah J. Maas,16FEB2021
Playground,Aron Beauregard,19DEC2022
The Wager,David Grann,18APR2023
The Housemaid's Secret,Freida McFadden,20FEB2023
The Four Agreements,don Miguel Ruiz,27JAN2005
The Last Thing He Told Me,Laura Dave,04MAY2021
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,20NOV2015
The Silent Patient,Alex Michaelides,05FEB2019
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,20NOV2015
Extreme Ownership,Jocko Willink,19OCT2015
Shift,Hugh Howey,28MAR2023
Think and Grow Rich,Napoleon Hill,16OCT2007
Only the Dead,Jack Carr,16MAY2023
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,14MAY2019
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,27DEC2019
The Only One Left,Riley Sager,20JUN2023
Throne of Glass,Sarah J. Maas,28JAN2021
The Creative Act,Rick Rubin,17JAN2023
The Real Anthony Fauci,Robert F. Kennedy Jr.,16NOV2021
The Laws of Human Nature,Robert Greene,23OCT2018
Never Split the Difference,Chris Voss,17MAY2016
The Perfect Marriage,Jeneva Rose,29DEC2020
Pretty Girls,Karin Slaughter,29SEP2015
The Warrior Poet Way,John Lovell,11JUL2023
A Flicker in the Dark,Stacy Willingham,11JAN2022
The Alchemist,Paulo Coelho,26DEC2004
The 7 Habits of Highly Effective People,Stephen R. Covey,28DEC2003
The Power of Now,Eckhart Tolle,31DEC2000
